category,filename,size_kb,ai_marked,status,note
audio_bgm,bgm_base.ogg,347,no,OK,""
audio_bgm,bgm_battle_large.ogg,749,no,OK,""
audio_bgm,bgm_battle_medium.ogg,378,no,OK,""
audio_bgm,bgm_battle_small.ogg,395,no,OK,""
audio_bgm,bgm_boss.ogg,872,no,OK,""
audio_bgm,bgm_defeat.ogg,15,no,OK,""
audio_bgm,bgm_menu.ogg,324,no,OK,""
audio_bgm,bgm_victory.ogg,12,no,OK,""
audio_sfx,sfx_combat_pistol.ogg,3,no,OK,""
audio_sfx,sfx_combat_rifle.ogg,3,no,OK,""
audio_sfx,sfx_combat_shotgun.ogg,3,no,OK,""
audio_sfx,sfx_combat_sniper.ogg,3,no,OK,""
audio_sfx,sfx_cover_destroy.ogg,5,no,OK,""
audio_sfx,sfx_critical_hit.ogg,3,no,OK,""
audio_sfx,sfx_dodge.ogg,11,no,OK,""
audio_sfx,sfx_explosion.ogg,6,no,OK,""
audio_sfx,sfx_heal_effect.ogg,3,no,OK,""
audio_sfx,sfx_hit_flesh.ogg,3,no,OK,""
audio_sfx,sfx_item_pickup.ogg,3,no,OK,""
audio_sfx,sfx_level_up.ogg,4,no,OK,""
audio_sfx,sfx_mission_defeat.ogg,4,no,OK,""
audio_sfx,sfx_mission_victory.ogg,4,no,OK,""
audio_sfx,sfx_overwatch_trigger.ogg,4,no,OK,""
audio_sfx,sfx_select_unit.ogg,3,no,OK,""
audio_sfx,sfx_skill_cast.ogg,4,no,OK,""
audio_sfx,sfx_turn_enemy_start.ogg,4,no,OK,""
audio_sfx,sfx_turn_player_start.ogg,3,no,OK,""
audio_sfx,sfx_ui_click.ogg,3,no,OK,""
audio_sfx,sfx_ui_hover.ogg,3,no,OK,""
audio_sfx,sfx_unit_down.ogg,4,no,OK,""
audio_sfx,sfx_unit_land.ogg,3,no,OK,""
characters,portrait_architect.png,3,yes,OK,""
characters,portrait_assault.png,3,yes,OK,""
characters,portrait_assault_mech.png,3,yes,OK,""
characters,portrait_combat_medic.png,3,yes,OK,""
characters,portrait_data_sentinel.png,3,yes,OK,""
characters,portrait_drone_assault.png,3,yes,OK,""
characters,portrait_drone_bomber.png,3,yes,OK,""
characters,portrait_drone_scout.png,3,yes,OK,""
characters,portrait_flame_trooper.png,3,yes,OK,""
characters,portrait_heavy.png,3,yes,OK,""
characters,portrait_heavy_gunner.png,3,yes,OK,""
characters,portrait_heavy_judge.png,3,yes,OK,""
